FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
614035	Flow cytometry result	54804666	TRAN_060026 WK 24.614035.fcs	TRAN_060026 WK 24.fcs	5300
614036	Flow cytometry result	17794051	T COMBO_060026 WK 24.614036.fcs	T COMBO_060026 WK 24.fcs	5300
614037	Flow cytometry result	78854881	ARA06-B-MEM_060037 DAY 0.614037.fcs	ARA06-B-MEM_060037 DAY 0.fcs	5300
614038	Flow cytometry compensation or control	131283437	ARA06-B-MEM_22559-182 NC.614038.fcs	ARA06-B-MEM_22559-182 NC.fcs	5300
614039	Flow cytometry compensation or control	62678371	ARA06-B-MEM_B220 FMO.614039.fcs	ARA06-B-MEM_B220 FMO.fcs	5300
614040	Flow cytometry result	56386099	TRAN_060037 DAY 0.614040.fcs	TRAN_060037 DAY 0.fcs	5300
614041	Flow cytometry compensation or control	68819917	TRAN_22559-182 IC.614041.fcs	TRAN_22559-182 IC.fcs	5300
614042	Flow cytometry result	30872495	TCOMBO_060037 DAY 0.614042.fcs	TCOMBO_060037 DAY 0.fcs	5300
614043	Flow cytometry compensation or control	44005687	TCOMBO_22559-182 IC.614043.fcs	TCOMBO_22559-182 IC.fcs	5300
614044	Flow cytometry compensation or control	15292071	TCOMBO_FMO PD1.614044.fcs	TCOMBO_FMO PD1.fcs	5300
614045	Flow cytometry result	60808223	ARA06-B-MEM_060037 WK12.614045.fcs	ARA06-B-MEM_060037 WK12.fcs	5300
614046	Flow cytometry result	39645147	TRAN_060037 WK 12.614046.fcs	TRAN_060037 WK 12.fcs	5300
614047	Flow cytometry result	22143217	TCOMBO_060037 WK 12.614047.fcs	TCOMBO_060037 WK 12.fcs	5300
614048	Flow cytometry result	60492723	ARA06-B-MEM_060037 WK24.614048.fcs	ARA06-B-MEM_060037 WK24.fcs	5300
614049	Flow cytometry result	41030723	TRAN_060037 WK 24.614049.fcs	TRAN_060037 WK 24.fcs	5300
614050	Flow cytometry result	20387313	TCOMBO_060037 WK 24.614050.fcs	TCOMBO_060037 WK 24.fcs	5300
614051	Flow cytometry result	73316781	ARA06-B-MEM_060048 DAY0.614051.fcs	ARA06-B-MEM_060048 DAY0.fcs	5300
614052	Flow cytometry result	53671399	TRAN_060048 DAY 0.614052.fcs	TRAN_060048 DAY 0.fcs	5300
614053	Flow cytometry result	32777709	TCOMBO_060048 DAY 0.614053.fcs	TCOMBO_060048 DAY 0.fcs	5300
614054	Flow cytometry result	84667581	ARA06-B-MEM_060048 WK12.614054.fcs	ARA06-B-MEM_060048 WK12.fcs	5300
614055	Flow cytometry result	59121957	TRAN_060048 WK 12.614055.fcs	TRAN_060048 WK 12.fcs	5300
614056	Flow cytometry result	53329769	TCOMBO_060048 WK 12.614056.fcs	TCOMBO_060048 WK 12.fcs	5300
614057	Flow cytometry result	83750301	ARA06-B-MEM_060048 WK24.614057.fcs	ARA06-B-MEM_060048 WK24.fcs	5300
614058	Flow cytometry result	79262876	TRAN_060048 WK 24.614058.fcs	TRAN_060048 WK 24.fcs	5300
614059	Flow cytometry result	83449962	TCOMBO_060048 WK 24.614059.fcs	TCOMBO_060048 WK 24.fcs	5300
614060	Flow cytometry result	76745998	ARA06-B-MEM_060054 DAY 0.614060.fcs	ARA06-B-MEM_060054 DAY 0.fcs	5300
614061	Flow cytometry result	52625894	TRAN_060054 DAY 0.614061.fcs	TRAN_060054 DAY 0.fcs	5300
614062	Flow cytometry result	46657710	TCOMBO_060054 DAY0.614062.fcs	TCOMBO_060054 DAY0.fcs	5300
614063	Flow cytometry result	99812564	ARA06-B-MEM_060054 WK12.614063.fcs	ARA06-B-MEM_060054 WK12.fcs	5300
614064	Flow cytometry result	59669354	TRAN_060054 WK 12.614064.fcs	TRAN_060054 WK 12.fcs	5300
614065	Flow cytometry result	50820463	TCOMBO_060054 WK 12.614065.fcs	TCOMBO_060054 WK 12.fcs	5300
614066	Flow cytometry result	55927340	ARA06-B-MEM_060054 WK24.614066.fcs	ARA06-B-MEM_060054 WK24.fcs	5300
614067	Flow cytometry result	38400751	TCOMBO_060054 WK 24.614067.fcs	TCOMBO_060054 WK 24.fcs	5300
614068	Flow cytometry result	35146103	20120112_074015 DAY 0.614068.fcs	20120112_074015 DAY 0.fcs	5300
